,urls
64,"http://wyborcza.pl/7,155287,22983874,polacy-przyslali-z-saksow-4-3-mld-zl-w-iii-kwartale-2017-r.html"
65,"http://wyborcza.pl/7,75398,22984064,ambasador-izraela-jesli-prezydent-podpisze-ustawe-o-ipn-trudniej.html"
66,"http://rzeszow.wyborcza.pl/rzeszow/7,34962,22982374,ceny-smieci-mocno-w-gore.html"
67,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22983897,osobowka-wjechala-w-drzwi-sopockiego-aquaparku.html"
68,"http://krakow.wyborcza.pl/krakow/7,44425,22983467,policjanci-z-warszawy-kontroluja-w-jeden-dzien-tyle-aut-co.html"
69,"http://warszawa.wyborcza.pl/warszawa/7,54420,22983278,zabojstwo-na-bialolece-ugodzil-agnieszke-nozem-bo-nie-chciala.html"
70,"http://wyborcza.pl/7,155287,22983671,ryanair-planuje-ekspansje-na-bliski-wschod-jest-izrael-a-bedzie.html"
71,"http://wyborcza.pl/7,75398,22983702,jan-tomasz-gross-pis-postanowilo-zakazac-mowienia-prawdy-o.html"
72,"http://kielce.wyborcza.pl/kielce/7,47262,22982694,czyste-buty-w-sadzie-wazniejsze-niz-praworzadnosc-plakatow.html"
73,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22983033,komendant-z-przeszloscia.html"
74,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22981791,czy-zakaz-handlu-w-niedziele-odbije-sie-na-turystach.html"
75,"http://wyborcza.pl/7,75400,22983351,7-rzeczy-ktorych-nie-wiedzielismy-tydzien-temu.html"
76,"http://wyborcza.pl/7,75399,22982916,boliwijski-magnat-cynowy-ratowal-zydow-przed-nazistami.html"
77,"http://wyborcza.pl/7,155287,22983328,zezloszczony-premier-morawiecki-chce-z-polskim-alarmem-smogowym.html"
78,"http://wyborcza.pl/7,75398,22983317,list-do-oblezonej-twierdzy.html"
79,"http://wyborcza.pl/7,75398,22983280,gminy-szukaja-rodzicow-zastepczych-pomagaja-ksieza-szkoly.html"
80,"http://wyborcza.pl/7,75398,22983263,szykuje-sie-kolejna-awantura-z-dunczykami-o-ratownictwo-medyczne.html"
81,"http://wyborcza.pl/7,75398,22983228,sienkiewicz-pis-poblazalo-skrajnej-prawicy.html"
82,"http://wyborcza.pl/7,75398,22983181,juz-dwa-miliony-zachorowan-na-grype.html"
83,"http://wyborcza.pl/7,155287,22974556,ile-naprawde-zarabiamy-gus-wyliczyl-srednie-place-dla.html"
84,"http://wyborcza.pl/7,155287,22971017,w-niemczech-brakuje-palet-gospodarka-w-swietnej-kondycji-ale.html"
85,"http://wyborcza.pl/7,75399,22983358,grecja-140-tys-osob-protestowalo-w-atenach-przeciwko-zmianie.html"
86,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22975510,rasistowskie-napisy-na-oltaszynie-i-partynicach.html"
87,"http://warszawa.wyborcza.pl/warszawa/7,54420,22983198,szpital-bielanski-zamyka-na-weekend-izbe-przyjec-na-oddziale.html"
