Unnamed: 0,Unnamed: 0.1,article_id,author,content,date,division,highlight,is_new,last_date,lead,media_desc,media_src,media_type,title,url
,,24822088,Michał Kokot,,2019-05-24 12:08:00,,,True,2019-05-28 15:34:50.464776,"Wbrew oczekiwaniom czwartkowe wybory do europarlamentu wygrała w Holandii nie antyimigrancka partia Forum dla Demokracji, ale socjaldemokratyczna Partia Pracy, z której wywodzi się wiceprzewodniczący Komisji Europejskiej.",,,,Partia Timmermansa niespodziewanie wygrywa eurowybory w Holandii,"http://wyborcza.pl/7,75399,24822088,partia-timmermansa-niespodziewanie-wygrywa-wybory-do-parlamentu.html"
,,24822062,Agnieszka Kublik,,2019-05-24 11:47:00,,,True,2019-05-28 15:34:50.464776,"Najważniejszy dziennik telewizji publicznej agituje za PiS na wszelkie możliwe sposoby: w zapowiedziach najważniejszych materiałów, w reportażach, na paskach. A Jarosław Kaczyński był ze wszystkich polityków pokazywany najczęściej",,,,Wiadomości TVP na wyborczej wojnie Jarosława Kaczyńskiego - raport Towarzystwa Dziennikarskiego,"http://wyborcza.pl/7,75398,24822062,wiadomosci-tvp-na-wyborczej-wojnie-jaroslawa-kaczynskiego.html"
,,24821906,Adam Zadworny,,2019-05-24 11:35:00,,,True,2019-05-28 15:34:50.464776,"W czwartek wieczorem szczecińska kuria ogłosiła dekret arcybiskupa Andrzeja Dzięgi powołujący ""Zespół Prawny do przeglądu spraw z zakresu nadużyć seksualnych wobec niepełnoletnich w Archidiecezji Szczecińsko-Kamieńskiej"". Będzie nim kierowała osoba...",,,,Arcybiskup szczecińsko-kamieński powołuje zespół do spraw nadużyć seksualnych,"http://szczecin.wyborcza.pl/szczecin/7,34939,24821906,arcybiskup-szczecinsko-kamienski-powoluje-zespol-do-spraw-naduzyc.html"
,,24821904,Maciej Czarnecki,,2019-05-24 11:18:00,,,True,2019-05-28 15:34:50.464776,"Premier Wielkiej Brytanii ogłosiła w piątek, że nie będzie już przewodniczyć Partii Konserwatywnej. Jeszcze w czerwcu rozpoczną się wybory nowego przywódcy ugrupowania, który zostanie też nowym premierem.",,,,Theresa May rezygnuje ze stanowiska. Odejdzie 7 czerwca,"http://wyborcza.pl/7,75399,24821904,pilne-theresa-may-rezygnuje-ze-stanowiska-odejdzie-7-czerwca.html"
,,24822191,Angelika Pitoń,,2019-05-24 12:01:00,,,True,2019-05-28 15:34:50.464776,"""Sorry, taki mamy klimat"" to dla nich za mało. Krakowska młodzież idzie śladem Grety Thunberg i głośno protestuje w sprawie bezczynności polityków wobec zmian klimatycznych. W piątek ok. 150 osób przeszło ulicami miasta - uczestnicy marszu wręczyli...",,,,Młodzież walczy o klimat. Dzieci i ryby też swój głos mają,"http://krakow.wyborcza.pl/krakow/7,44425,24822191,mlodziez-walczy-o-klimat-dzieci-i-ryby-tez-swoj-glos-maja.html"
,,24822377,sim,,2019-05-24 12:39:00,,,True,2019-05-28 15:34:50.464776,"Ulicami Szczecina przemaszerowało w piątek kilkaset osób, które chcą zwrócić uwagę na dramatyczne zmiany klimatyczne. - Jesteśmy pierwszym pokoleniem, które uświadomiło sobie, że nie da się pić ropy, nie da się oddychać pieniędzmi. Możemy zawalczyć...",,,,Nieodpowiedzialni politycy zostawili nam świat z terminem ważności. Młodzieżowy Strajk Klimatyczny w Szczecinie,"http://szczecin.wyborcza.pl/szczecin/7,34939,24822377,jestesmy-pokoleniem-ktoremu-nieodpowiedzialna-polityka-zostawila.html"
,,24818393,Małgorzata Kolińska-Dąbrowska,,2019-05-24 12:45:00,,,True,2019-05-28 15:34:50.464776,"Niedawna nowelizacja kodeksu karnego przygotowana przez PiS nadaje władzom spółek skarbu państwa, spółek samorządowych, firm państwowych, a nawet fundacji i stowarzyszeń status osoby pełniącej funkcje publiczne. To się wiąże z zaostrzeniem...",,,,Nowelizacja kodeksu karnego. Prezesi państwowych spółek będą karani za korupcję i przestępstwa urzędnicze,"http://wyborcza.pl/7,155287,24818393,nowelizacja-kodeksu-karnego-prezesi-panstwowych-spolek-beda.html"
,,24822792,Paweł Kośmiński,,2019-05-24 13:58:00,,,True,2019-05-28 15:34:50.464776,TVP pozwała rzecznika praw obywatelskich Adama Bodnara za jego słowa wygłoszone po tragicznej śmierci prezydenta Gdańska Pawła Adamowicza.,,,,Sąd oddalił pozew TVP przeciw Bodnarowi. Telewizja publiczna chciała przeprosin i wpłaty 25 tys. na WOŚP,"http://wyborcza.pl/7,75398,24822792,sad-oddalil-pozew-tvp-przeciw-bodnarowi-telewizja-publiczna.html"
,,24822287,Bartłomiej Kuraś,,2019-05-24 12:19:00,,,True,2019-05-28 15:34:50.464776,"Mateusz Morawiecki podał fałszywą informację, że zbiornik retencyjny w Krakowie-Bieżanowie został w pełni zbudowany ze środków krajowych. Winę wziął na siebie miejscowy urzędnik. Samorządowcy uważają, że znaleziono kozła ofiarnego.",,,,Urzędnik wziął odpowiedzialność za nieprawdziwe stwierdzenie premiera. Znaleźli kozła ofiarnego?,"http://krakow.wyborcza.pl/krakow/7,44425,24822287,urzednik-wzial-odpowiedzialnosc-za-nieprawdziwe.html"
,,24822730,szp,,2019-05-24 12:55:00,,,True,2019-05-28 15:34:50.464776,"Do tragedii doszło w czwartek wieczorem. W Jeziorze Długim w Rzepinie utopił się 13-letni chłopiec, mieszkaniec powiatu słubickiego. Prawdopodobnie poślizgnął się podczas skoku na główkę do wody i uderzył głową o pomost.",,,,13-letni chłopiec utonął w Jeziorze Długim w Rzepinie. Mimo zakazu skakał z pomostu do wody,"http://zielonagora.wyborcza.pl/zielonagora/7,35182,24822730,13-letni-chlopiec-utonal-w-jeziorze-dlugim-w-rzepinie-mimo.html"
