,urls
120,"http://wyborcza.pl/7,75398,24659178,solidarni-z-nauczycielami-w-srode-akcja-wsparcia.html"
121,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24659309,swidnica-popiera-strajk-nauczycieli-gdy-minister-zalewska.html"
122,"http://wyborcza.pl/7,75398,24659331,premier-do-nauczycieli-zawiescie-strajk-na-wielki-tydzien.html"
123,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24652734,wroclaw-ma-najwiecej-komunalnych-piecow-weglowych-sposrod-polskich.html"
124,"http://wyborcza.pl/7,154903,24658426,wielcy-frustraci-i-mali-wygrani-podsumowanie-rundy-zasadniczej.html"
125,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24658787,wroclaw-funkcjonariusz-w-wiezieniu-handlowal-narkotykami.html"
126,"http://wyborcza.pl/7,154903,24658697,wystrzal-igi-swiatek-porownania-do-agnieszki-radwanskiej-nieuniknione.html"
127,"http://wyborcza.pl/7,75399,24658589,trump-atakuje-pierwsza-muzulmanke-w-kongresie.html"
128,"http://wyborcza.pl/7,75400,24658391,pies-lub-kot-choruje-mozesz-to-wyczytac-z-ich-oczu.html"
129,"http://olsztyn.wyborcza.pl/olsztyn/7,48726,24657382,droga-s16-przez-mazury-niech-cud-cudem-pozostanie.html"
130,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24658238,duzy-pozar-niedaleko-koscierzyny-splonela-jedna-z-hal-w-tartaku.html"
131,"http://wyborcza.pl/7,154903,24658230,czy-jest-nadzieja-dla-zespolu-roberta-kubicy.html"
132,"http://wyborcza.pl/7,75399,24658224,le-pen-do-francuzow-banki-nie-daja-nam-kredytow-wspomozcie.html"
133,"http://bydgoszcz.wyborcza.pl/bydgoszcz/7,48722,24658209,strajk-nauczycieli-uwaga-teraz-zegar-tyka-dla-maturzystow.html"
134,"http://wyborcza.pl/7,154903,24657936,iga-swiatek-przegrala-w-finale-w-lugano-zabraklo-niewiele.html"
135,"http://sosnowiec.wyborcza.pl/sosnowiec/7,93867,24657920,nauczyciel-historii-z-iv-lo-w-sosnowcu-nie-strajkuje-i-moge.html"
136,"http://katowice.wyborcza.pl/katowice/7,35063,24657385,dyrektor-szpitala-ujawnil-ze-byly-pacjent-dopuszczal-sie-drobnych.html"
137,"http://wyborcza.pl/7,155287,24657432,potwierdzaja-sie-wyliczenia-wyborczej-oplata-recyklingowa.html"
138,"http://warszawa.wyborcza.pl/warszawa/7,54420,24642949,czyja-jest-ta-przyjazn.html"
139,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24657373,w-nocy-plonal-palac-pod-olawa-gasila-straz-z-calego-powiatu.html"
140,"http://poznan.wyborcza.pl/poznan/7,36001,24639607,galeria-arsenal-bez-pieniedzy-z-ministerstwa-kultury-dyrektor.html"
141,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24657214,gigantyczne-kolejki-w-trojmiejskich-kinach-helios-powod-finalowy.html"
142,"http://olsztyn.wyborcza.pl/olsztyn/7,48726,24656830,olsztyn-z-nauczycielami-wiec-poparcia-dla-strajkujacych.html"
143,"http://krakow.wyborcza.pl/krakow/7,44425,24657165,zasnal-na-lawce-i-stracil-saszetke-zlodzieja-zlapal-policjant.html"
144,"http://rzeszow.wyborcza.pl/rzeszow/7,34962,24653854,trwa-akcja-protestacyjna-w-mielcu-przeciwko-firmie-kronospan.html"
145,"http://warszawa.wyborcza.pl/warszawa/7,54420,24646715,jesli-ten-strajk-ma-miec-sens-powinien-trwac-kosztem-egzaminow.html"
146,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24646732,rodzice-walcza-o-egzaminy-i-organizuja-komisje.html"
